week 1
Oranges,folic acid
Strawberries,folic acid
Green leafy vegetables,folic acid
Fortified breakfast cereals,folic acid
Beans,folic acid
Nuts,folic acid
Cauliflower,folic acid
Beets,folic acid
,
week 2
Oranges,folic acid
Strawberries,folic acid
Green leafy vegetables,folic acid
Fortified breakfast cereals,folic acid
Beans,folic acid
Nuts,folic acid
Cauliflower,folic acid
Beets,folic acid
,
week 3,
guava,vitamin C
papaya,vitamin C
kiwi,vitamin C
red bell peper,vitamin C
green chiles,vitamin C
grapefruit,vitamin C
sweet potato,vitamin C
pineapple,vitamin C
broccoil,vitamin C
,
week 4,
milk,calcium
yogurt,calcium
cheese,calcium
calcium-fortified,calcium
orange juice,calcium
salmon,calcium
tofu,calcium
sardines,calcium
,
week 5,
banana,potassium
bran,potassium
peaches,potassium
pears,potassium
prunes,potassium
sweet potatoes,potassium
lima beans,potassium
pea,potassium
avocados,potassium
carrots,potassium
lentils,potassium
prunes,potassium
,
week 6,
salmon,vitamin B12(cobalamin)
tuna,vitamin B12(cobalamin)
trout,vitamin B12(cobalamin)
breef,vitamin B12(cobalamin)
,
week7,
Baked cod,iodine
plain yogurt,iodine
milk,iodine
shrimp,iodine
egg,iodine
canned light tuna ,iodine
creamed corn,iodine
cheddar cheese,iodine
,
week 8,
salmon,Docosahexaenoic Acid()
tuna,Docosahexaenoic Acid()
fortified eggs,Docosahexaenoic Acid()
walnuts,Docosahexaenoic Acid()
,
week 9,
 Sunflower seeds,vitamin B6
pistachios,vitamin B6
tuna,vitamin B6
poultry,vitamin B6
driedprunes,vitamin B6
lean beef,vitamin B6
bananas,vitamin B6
avocado,vitamin B6
tomatoes,vitamin B6
spinach,vitamin B6
,
week 10,
Lentils,fiber
black beans,fiber
lima beans,fiber
brown rice,fiber
broccoil,fiber
peas,fiber
,
week 11,
Carrots,vitamin A (Retinol)
sweet potatoes,vitamin A (Retinol)
dark leafy,vitamin A (Retinol)
greens,vitamin A (Retinol)
cantaloupe,vitamin A (Retinol)
bell pepers,vitamin A (Retinol)
,
week 12,
canned sardines,vitamin D
vitamin D-fortified milk and orange juice,vitamin D
egg yolks,vitamin D
,
week 13,
water,water
milk,water
sparkling or flavoured waters,water
 fruit and vegetable juices,water
,
week 14,
Almonds,Magnesium
spinach,Magnesium
cashews,Magnesium
peanut butter,Magnesium
peanuts,Magnesium
avocado,Magnesium
yogurt,Magnesium
edamame,Magnesium
kidney beans,Magnesium
black beans,Magnesium
,
week 15,
beef,vitamin B1 (Thiamin)
brewer's yeast,vitamin B1 (Thiamin)
legumes,vitamin B1 (Thiamin)
millk,vitamin B1 (Thiamin)
nuts,vitamin B1 (Thiamin)
oats,vitamin B1 (Thiamin)
orange,vitamin B1 (Thiamin)
pork,vitamin B1 (Thiamin)
rice,vitamin B1 (Thiamin)
wheat,vitamin B1 (Thiamin)
whole grain cereals,vitamin B1 (Thiamin)
yeast,vitamin B1 (Thiamin)
,
week 16,
lean beef,zinc
dark turkey meat,zinc
pork,zinc
yogurt,zinc
cashews,zinc
baked beand,zinc
almonds,zinc
peanuts,zinc
,
week 17,
kale,vitamin K
swiss chard,vitamin K
spinach,vitamin K
cabbage,vitamin K
cauliflower,vitamin K
beef liver,vitamin K
eggs,vitamin K
broccoli,vitamin K
avocado,vitamin K
banana,vitamin K
,
week 18,
carrots,
tomatoes,
apricots,
sweet potatoes,
kale,
broccoli,
eggs,
milk,
,
week 19,
poultry,vitamin B3 ( niacin)
